ROWNUM;NAME;ADDRESS;NAME_PARK;DOP_INF;NAME_WF;ZONA;STATUS;USLOVIE;GLOBALID;X_WGS84;Y_WGS84;
43;"Wi-Fi точка № 4 в парке «Северное Тушино»";"улица Свободы, дом 56";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788531";"37,45326223";"55,85638282";
44;"Wi-Fi точка № 2 в парке «Люблино»";"Тихая улица, дом 23";"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788532";"37,74318513";"55,6882012";
45;"Wi-Fi точка № 3 в парке «Люблино»";"Тихая улица, дом 23";"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788533";"37,744131";"55,68809239";
46;"Wi-Fi точка № 4 в парке «Люблино»";"Тихая улица, дом 23";"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788534";"37,74537148";"55,68800675";
47;"Wi-Fi точка № 5 в парке «Люблино»";"Тихая улица, дом 23";"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788535";"37,7452412";"55,68735348";
48;"Wi-Fi точка № 2 в парке «Бабушкинский»";"улица Менжинского, дом 6";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788536";"37,68113897";"55,86645293";
49;"Wi-Fi точка № 3 в парке «Бабушкинский»";"улица Менжинского, дом 6";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788537";"37,68230798";"55,86655933";
50;"Wi-Fi точка № 4 в парке «Бабушкинский»";"улица Менжинского, дом 6";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788538";"37,68283042";"55,86757328";
51;"Wi-Fi точка № 5 в парке «Бабушкинский»";"улица Менжинского, дом 6";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788539";"37,68391392";"55,86836182";
52;"Wi-Fi точка № 6 в парке «Бабушкинский»";"улица Менжинского, дом 6";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788540";"37,68490581";"55,86853501";
53;"Wi-Fi точка № 2 в парке «Лианозовский»";"Угличская улица, дом 13";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788541";"37,56829618";"55,90050348";
54;"Wi-Fi точка № 3 в парке «Лианозовский»";"Угличская улица, дом 13";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788542";"37,56974549";"55,89965432";
55;"Wi-Fi точка № 4 в парке «Лианозовский»";"Угличская улица, дом 13";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788543";"37,57139134";"55,90110059";
56;"Wi-Fi точка № 5 в парке «Лианозовский»";"Угличская улица, дом 13";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788544";"37,57247259";"55,90138276";
